policy,track_seed,noise_std,delay_steps,dropout_prob,dead_sensor_index,steps,success,final_y,mean_lateral_error,max_lateral_error,mean_activity,encoding,condition,snn_steps,hidden_dim
latency,1002,0.12,0,0.0,-1,16,0,2.5427376020778962,0.8226332254063701,1.5810610737769113,7.0,latency,noise_0.12,25,96
latency,1003,0.12,0,0.0,-1,17,0,2.969617163450649,0.9122590532400213,1.563953320720698,7.235294117647059,latency,noise_0.12,25,96
latency,1004,0.12,0,0.0,-1,32,0,5.297485270148503,0.7658028904302787,1.5606337612856533,7.5,latency,noise_0.12,25,96
latency,1005,0.12,0,0.0,-1,19,0,3.1367135117262652,0.7657632276712426,1.6204541983383858,7.421052631578948,latency,noise_0.12,25,96
latency,1006,0.12,0,0.0,-1,22,0,3.8392985041396783,1.0310164784978333,1.565040395510823,6.409090909090909,latency,noise_0.12,25,96
latency,1007,0.12,0,0.0,-1,36,0,6.1274356144756,0.9238381612713028,1.5683557399467287,7.222222222222222,latency,noise_0.12,25,96
latency,1008,0.12,0,0.0,-1,16,0,2.7251756533878457,0.8169790448205358,1.5647796593660244,6.75,latency,noise_0.12,25,96
latency,1009,0.12,0,0.0,-1,117,0,18.61383323711042,1.1644463787763368,1.597998174951768,6.6752136752136755,latency,noise_0.12,25,96
latency,1010,0.12,0,0.0,-1,17,0,3.02797197067522,0.9228686020030403,1.593216876758892,6.705882352941177,latency,noise_0.12,25,96
latency,1011,0.12,0,0.0,-1,35,0,5.804422516167923,0.9851295782811261,1.5647964413597582,7.114285714285714,latency,noise_0.12,25,96
latency,1000,0.0,2,0.0,-1,17,0,2.7918269391394652,0.8495965580384658,1.5854700018343764,6.352941176470588,latency,delay_2,25,96
latency,1001,0.0,2,0.0,-1,21,0,3.479563257009717,0.6822820752939847,1.5510884173988415,7.095238095238095,latency,delay_2,25,96
latency,1002,0.0,2,0.0,-1,17,0,2.669628876695263,0.8576689361231298,1.606273476667993,6.235294117647059,latency,delay_2,25,96
latency,1003,0.0,2,0.0,-1,17,0,2.8828246236808153,0.8581999499634021,1.6062776438882596,6.352941176470588,latency,delay_2,25,96
latency,1004,0.0,2,0.0,-1,17,0,2.711935307891682,0.8045348665376284,1.5659656014193135,6.705882352941177,latency,delay_2,25,96
latency,1005,0.0,2,0.0,-1,16,0,2.6742748918564128,0.8112053349327868,1.550565179327815,6.375,latency,delay_2,25,96
latency,1006,0.0,2,0.0,-1,17,0,2.9417805542921727,0.7691172606073562,1.5519135654931597,6.9411764705882355,latency,delay_2,25,96
latency,1007,0.0,2,0.0,-1,17,0,2.88557147505671,0.8062344389364928,1.569779875146967,6.705882352941177,latency,delay_2,25,96
latency,1008,0.0,2,0.0,-1,17,0,2.8473508205058016,0.8585672304706616,1.606466436030345,6.235294117647059,latency,delay_2,25,96
latency,1009,0.0,2,0.0,-1,18,0,3.0919246928810042,0.8401135518450402,1.5916165841060166,6.5,latency,delay_2,25,96
latency,1010,0.0,2,0.0,-1,17,0,2.963910560984272,0.7696713451153179,1.5506378957505014,6.9411764705882355,latency,delay_2,25,96
latency,1011,0.0,2,0.0,-1,17,0,2.831683505280225,0.8000443838979407,1.554106396609476,6.647058823529412,latency,delay_2,25,96
latency,1000,0.0,0,0.2,-1,251,1,40.0264264911249,1.208163122755645,1.310277217901424,5.49800796812749,latency,dropout_0.20,25,96
latency,1001,0.0,0,0.2,-1,253,1,40.06597642536852,1.1950184271073752,1.3169442736309716,5.5019762845849804,latency,dropout_0.20,25,96
latency,1002,0.0,0,0.2,-1,252,1,40.08993367381176,1.196647994506324,1.313907350303759,5.5476190476190474,latency,dropout_0.20,25,96
latency,1003,0.0,0,0.2,-1,252,1,40.11322151209731,1.2060140759568194,1.315492066595922,5.484126984126984,latency,dropout_0.20,25,96
latency,1004,0.0,0,0.2,-1,251,1,40.03963096387416,1.1997058483374472,1.3093619743604892,5.52988047808765,latency,dropout_0.20,25,96
latency,1005,0.0,0,0.2,-1,252,1,40.05136234073022,1.2328050509078279,1.3299301716346652,5.492063492063492,latency,dropout_0.20,25,96
latency,1006,0.0,0,0.2,-1,251,1,40.019166983158144,1.2044382429271363,1.3161081835182644,5.52589641434263,latency,dropout_0.20,25,96
latency,1007,0.0,0,0.2,-1,250,1,40.016348134143364,1.224588613191484,1.3110300349257968,5.468,latency,dropout_0.20,25,96
latency,1008,0.0,0,0.2,-1,252,1,40.041881499999796,1.2233994687340264,1.334317055385806,5.4603174603174605,latency,dropout_0.20,25,96
