policy,track_seed,noise_std,delay_steps,dropout_prob,dead_sensor_index,steps,success,final_y,mean_lateral_error,max_lateral_error,mean_activity,condition
ANN,1007,0.0,0,0.2,-1,24,0,3.469107474215515,0.5491633573217253,1.584162213414288,2.8161965161561966,dropout_020
ANN,1008,0.0,0,0.2,-1,43,0,6.7115938676897064,0.41245554371831805,1.6656173411577053,3.303148174701735,dropout_020
ANN,1009,0.0,0,0.2,-1,19,0,3.0001952237150404,0.6981032209055398,1.6632277930662918,3.2597677174367403,dropout_020
ANN,1010,0.0,0,0.2,-1,18,0,2.949292351127729,0.653644055612734,1.5760288965277354,3.088765495353275,dropout_020
ANN,1011,0.0,0,0.2,-1,21,0,3.203879830455456,0.6491707343903812,1.6604895538163937,3.4857289166677567,dropout_020
SNN,1000,0.0,0,0.2,-1,255,1,40.091342015190286,1.2921389523887186,1.532895686052421,4.549019607843137,dropout_020
SNN,1001,0.0,0,0.2,-1,257,1,40.00629939663175,1.258924090527765,1.5371896917630814,4.466926070038911,dropout_020
SNN,1002,0.0,0,0.2,-1,13,0,1.7710472909255066,0.8061143288093616,1.5958497889980607,3.3076923076923075,dropout_020
SNN,1003,0.0,0,0.2,-1,13,0,1.9886871196612879,0.8075591503221351,1.6003617602409583,3.5384615384615383,dropout_020
SNN,1004,0.0,0,0.2,-1,13,0,1.806870870698499,0.8013124748314717,1.5865911075697108,4.3076923076923075,dropout_020
SNN,1005,0.0,0,0.2,-1,256,1,40.142098856902706,1.288086223070502,1.513977745754603,4.51171875,dropout_020
SNN,1006,0.0,0,0.2,-1,42,0,6.607484946062503,0.4206917704238312,1.7095870959571757,2.0952380952380953,dropout_020
SNN,1007,0.0,0,0.2,-1,35,0,5.294917379370476,0.7363368497679813,1.5531499707141634,3.057142857142857,dropout_020
SNN,1008,0.0,0,0.2,-1,16,0,2.5483277842881185,0.7479991488870958,1.5951429369471737,3.25,dropout_020
SNN,1009,0.0,0,0.2,-1,18,0,2.904599520400324,0.7298987193040303,1.663202280027897,3.3333333333333335,dropout_020
SNN,1010,0.0,0,0.2,-1,26,0,4.119298103211129,0.5748966392288885,1.697317161923765,2.576923076923077,dropout_020
SNN,1011,0.0,0,0.2,-1,13,0,1.9297276915512458,0.7993716133539229,1.5830171950464849,3.8461538461538463,dropout_020
ANN,1000,0.0,0,0.0,4,249,1,40.146981663800766,0.08936038789661539,0.35495098993738194,1.2816632239215344,dead_center
ANN,1001,0.0,0,0.0,4,251,1,40.1080792784361,0.04141262172528783,0.24956690579334728,1.3516433493074669,dead_center
ANN,1002,0.0,0,0.0,4,249,1,40.136192055009566,0.11725038322203421,0.34044432529146473,1.1969064280211208,dead_center
ANN,1003,0.0,0,0.0,4,250,1,40.1381347721535,0.08079944907685477,0.3524240991363904,1.2762236430644989,dead_center
ANN,1004,0.0,0,0.0,4,248,1,40.072774484024976,0.08206942263005802,0.3488044780366778,1.2382678620276912,dead_center
ANN,1005,0.0,0,0.0,4,250,1,40.04502405469423,0.13534651130632,0.3354455423546804,1.1706775033473968,dead_center
ANN,1006,0.0,0,0.0,4,250,1,40.09606208378001,0.09729838487353919,0.36092908360045484,1.2830748891830444,dead_center
ANN,1007,0.0,0,0.0,4,249,1,40.11569517080645,0.10044572269021029,0.36604178610656335,1.2781360671223407,dead_center
ANN,1008,0.0,0,0.0,4,250,1,40.05709203412637,0.07868689585104222,0.3731837352370791,1.2855889682769774,dead_center
ANN,1009,0.0,0,0.0,4,248,1,40.009656746477006,0.0610727722760644,0.24994426268448613,1.309262053860772,dead_center
ANN,1010,0.0,0,0.0,4,250,1,40.15425117840063,0.0768066346126974,0.2802232553624366,1.2643710713386536,dead_center
ANN,1011,0.0,0,0.0,4,248,1,40.09234635469951,0.15335121596593934,0.3163119844777765,1.1440804281061696,dead_center
SNN,1000,0.0,0,0.0,4,249,1,40.09107771221715,0.0444285866848017,0.23255018733295618,1.9879518072289157,dead_center
SNN,1001,0.0,0,0.0,4,252,1,40.15471092217277,0.03807917556884175,0.23181747595659985,1.9722222222222223,dead_center
SNN,1002,0.0,0,0.0,4,249,1,40.132332054280894,0.04139479679418753,0.23260892571063807,1.9518072289156627,dead_center
SNN,1003,0.0,0,0.0,4,250,1,40.083540824447894,0.0451388353628661,0.23254943311239978,1.916,dead_center
SNN,1004,0.0,0,0.0,4,248,1,40.0088689047429,0.0473657444660045,0.2325143759527754,1.971774193548387,dead_center
SNN,1005,0.0,0,0.0,4,251,1,40.15674687185523,0.048616554947398395,0.23262195968258192,2.0,dead_center
SNN,1006,0.0,0,0.0,4,250,1,40.041094349445856,0.035484604870459686,0.2323805443585245,2.048,dead_center
SNN,1007,0.0,0,0.0,4,249,1,40.08473613086566,0.04849617353932728,0.23244903665590266,1.8995983935742973,dead_center
SNN,1008,0.0,0,0.0,4,251,1,40.10336992416637,0.043127165608673974,0.23263935943871805,1.9322709163346614,dead_center
